url	first_seen	posted_at	portal	title	company	status	score
https://www.linkedin.com/jobs/view/ai-engineer-entry-level-at-jobright-ai-4405915691	2026-04-26		linkedin	AI Engineer, Entry Level	Jobright.ai	added	2.5
https://www.linkedin.com/jobs/view/ai-engineer-at-infosys-4383183207	2026-04-26		linkedin	AI Engineer	Infosys	added	2.5
https://www.linkedin.com/jobs/view/ml-engineer-data-pipeline-at-stand-4407112278	2026-04-26		linkedin	ML Engineer, Data Pipeline	Stand	added	
https://www.linkedin.com/jobs/view/ai-engineer-remote-at-jobs-ai-4407114688	2026-04-26		linkedin	AI Engineer (Remote)	Jobs Ai	added	
https://www.linkedin.com/jobs/view/ai-engineer-at-haystack-4405917176	2026-04-26		linkedin	AI Engineer	Haystack	added	
https://www.linkedin.com/jobs/view/ai-engineer-at-remotehunter-4405929324	2026-04-26		linkedin	AI Engineer	RemoteHunter	added	
https://www.linkedin.com/jobs/view/ai-engineer-at-jobright-ai-4405932500	2026-04-26		linkedin	AI Engineer	Jobright.ai	added	
https://www.linkedin.com/jobs/view/ai-engineer-agents-at-jobright-ai-4405925625	2026-04-26		linkedin	AI Engineer (Agents)	Jobright.ai	added	
https://www.linkedin.com/jobs/view/sr-python-engineer-for-ml-team-4376754672	2026-04-26		linkedin	Sr Python Engineer for ML Team	LinkedIn	added	
https://www.linkedin.com/jobs/view/data-analyst-at-govini-4346650202	2026-04-26		linkedin	Data Analyst	Govini	added	
https://www.linkedin.com/jobs/view/data-analyst-at-sidram-technologies-4407130650	2026-04-26		linkedin	Data Analyst	SIDRAM TECHNOLOGIES	added	
https://www.linkedin.com/jobs/view/bi-analyst-data-analyst-at-sundayy-4407120546	2026-04-26		linkedin	BI Analyst / Data Analyst	Sundayy	added	
https://www.linkedin.com/jobs/view/data-analyst-at-netrolynx-ai-4407146334	2026-04-26		linkedin	Data Analyst	Netrolynx AI	added	
https://www.linkedin.com/jobs/view/health-analytics-data-science-analyst-at-aon-4375695669	2026-04-26		linkedin	Health Analytics - Data Science Analyst	Aon	added	
https://www.linkedin.com/jobs/view/data-analyst-marketing-at-sundayy-4407113558	2026-04-26		linkedin	Data Analyst, Marketing	Sundayy	added	
https://www.linkedin.com/jobs/view/data-analyst-at-credit-genie-4405919726	2026-04-26		linkedin	Data Analyst	Credit Genie	added	
https://www.linkedin.com/jobs/view/fraud-aml-data-analyst-at-oscilar-4345021967	2026-04-26		linkedin	Fraud & AML Data Analyst	Oscilar	added	
https://www.linkedin.com/jobs/view/associate-data-analyst-customer-support-at-pitchbook-4356842209	2026-04-26		linkedin	Associate Data Analyst, Customer Support	PitchBook	added	
https://www.linkedin.com/jobs/view/provider-data-analyst-i-at-moda-health-4407139469	2026-04-26		linkedin	Provider Data Analyst I	Moda Health	added	
https://www.linkedin.com/jobs/view/data-analyst-specialist-at-hackajob-4405911732	2026-04-26		linkedin	Data Analyst, Specialist	hackajob	added	
https://www.linkedin.com/jobs/view/data-analyst-at-university-of-pennsylvania-4405411985	2026-04-26		linkedin	Data Analyst	University of Pennsylvania	added	
https://www.linkedin.com/jobs/view/junior-business-intelligence-analyst-at-medpace-4331596958	2026-04-26		linkedin	Junior Business Intelligence Analyst	Medpace	added	
https://www.linkedin.com/jobs/view/gss-data-analyst-at-laveer-engineering-4406889360	2026-04-26		linkedin	GSS Data Analyst	Laveer Engineering	added	
https://www.linkedin.com/jobs/view/business-intelligence-analyst-ii-at-the-trade-desk-4304824043	2026-04-26		linkedin	Business Intelligence Analyst II	The Trade Desk	added	
https://www.linkedin.com/jobs/view/research-data-analyst-at-northwestern-university-4385519628	2026-04-26		linkedin	Research Data Analyst	Northwestern University	added	
https://www.linkedin.com/jobs/view/data-analyst-iv-advanced-analytics-reporting-100%25-remote-at-remotehunter-4405931335	2026-04-26		linkedin	Data Analyst IV - Advanced Analytics & Reporting - 100% remote	RemoteHunter	added	
https://www.linkedin.com/jobs/view/business-intelligence-analyst-i-at-remotehunter-4405919328	2026-04-26		linkedin	Business Intelligence Analyst I	RemoteHunter	added	
https://www.linkedin.com/jobs/view/health-home-data-analyst-at-compass-health-network-4407138485	2026-04-26		linkedin	Health Home Data Analyst	Compass Health Network	added	
https://www.linkedin.com/jobs/view/business-data-analyst-at-jobs-via-dice-4403953716	2026-04-26		linkedin	Business Data Analyst	Jobs via Dice	added	
https://www.linkedin.com/jobs/view/data-analytics-analyst-2-at-jobs-via-dice-4403996955	2026-04-26		linkedin	Data Analytics Analyst 2	Jobs via Dice	added	
https://www.linkedin.com/jobs/view/robotics-data-science-intern-co-op-2026-at-amazon-4367388609	2026-04-26		linkedin	Robotics - Data Science Intern / Co-op - 2026	Amazon	added	
https://www.linkedin.com/jobs/view/business-intelligence-analyst-independent-contractor-at-dataannotation-4367627511	2026-04-26		linkedin	Business Intelligence Analyst (Independent Contractor)	DataAnnotation	added	
https://www.linkedin.com/jobs/view/interoperability-data-analyst-sql-tactical-data-links-at-astrion-4374677612	2026-04-26		linkedin	Interoperability Data Analyst (SQL / Tactical Data Links)	Astrion	added	
https://www.linkedin.com/jobs/view/jr-data-scientist-at-why-hiring-4404678636	2026-04-27	2026-04-27	linkedin	Jr. Data Scientist	Why Hiring	added	3.8
https://www.linkedin.com/jobs/view/data-scientist-at-stott-and-may-4405981852	2026-04-27	2026-04-27	linkedin	Data Scientist	Stott and May	added	
https://www.linkedin.com/jobs/view/data-scientist-at-ascendion-4407468961	2026-04-27	2026-04-27	linkedin	Data Scientist	Ascendion	added	
https://www.linkedin.com/jobs/view/data-scientist-at-arlo-4400020796	2026-04-27	2026-04-27	linkedin	Data Scientist	Arlo	added	
https://www.linkedin.com/jobs/view/data-scientist-at-surgical-data-science-collective-sdsc-4405155968	2026-04-27	2026-04-27	linkedin	Data Scientist	Surgical Data Science Collective (SDSC)	added	
https://www.linkedin.com/jobs/view/applied-scientist-data-science-at-prior-labs-4407417991	2026-04-27	2026-04-27	linkedin	Applied Scientist, Data Science	Prior Labs	added	
https://www.linkedin.com/jobs/view/junior-data-scientist-at-tech-consulting-4405988190	2026-04-27	2026-04-27	linkedin	Junior Data Scientist	Tech Consulting	added	
https://www.linkedin.com/jobs/view/jr-data-scientist-at-hga-4407485367	2026-04-27	2026-04-27	linkedin	Jr Data Scientist	HGA	added	
https://www.linkedin.com/jobs/view/data-scientist-at-iron-bow-technologies-4407464510	2026-04-27	2026-04-27	linkedin	Data Scientist	Iron Bow Technologies	added	
https://www.linkedin.com/jobs/view/research-data-scientist-developer-ai-at-google-4405981235	2026-04-27	2026-04-27	linkedin	Research Data Scientist, Developer AI	Google	added	
https://www.linkedin.com/jobs/view/data-scientist-at-sotalent-4405142097	2026-04-27	2026-04-27	linkedin	Data Scientist	SoTalent	added	
https://www.linkedin.com/jobs/view/sector-data-scientist-at-thurn-partners-4405106697	2026-04-27	2026-04-27	linkedin	Sector Data Scientist	Thurn Partners	added	
https://www.linkedin.com/jobs/view/machine-learning-engineer-perception-at-aeva-4404686898	2026-04-27	2026-04-27	linkedin	Machine Learning Engineer - Perception	Aeva	added	
https://www.linkedin.com/jobs/view/data-scientist-4401456515	2026-04-27	2026-04-27	linkedin	Data Scientist	LinkedIn	added	
https://www.linkedin.com/jobs/view/ai-data-scientist-at-hunter-douglas-inc-4405993547	2026-04-27	2026-04-27	linkedin	AI Data Scientist	Hunter Douglas, Inc.	added	
https://www.linkedin.com/jobs/view/data-scientist-tiktok-ads-at-tiktok-4377301781	2026-04-27	2026-04-27	linkedin	Data Scientist - TikTok Ads	TikTok	added	
https://www.linkedin.com/jobs/view/machine-learning-engineer-at-goliath-partners-4407464330	2026-04-27	2026-04-27	linkedin	Machine Learning Engineer	Goliath Partners	added	
https://www.linkedin.com/jobs/view/data-scientist-at-mentor-talent-acquisition-4403853415	2026-04-27	2026-04-27	linkedin	Data Scientist	Mentor Talent Acquisition	added	
